Date,Open,High,Low,Close,Volume
2019/4/16,25,25.450001,24.33,25.261662,14410760
2019/4/17,25.450001,25.950001,25.41,25.509809,12664335
2019/4/18,25.65,26,25.5,25.509809,11726778
2019/4/19,25.690001,25.719999,25.040001,25.301363,9879562
2019/4/22,25.76,25.82,25.1,24.973806,9651683
2019/4/23,25.209999,25.35,24.299999,24.149946,11909154
2019/4/24,24.440001,24.66,24.1,24.437801,7543208
2019/4/25,24.6,24.790001,23.57,23.395571,10210463
2019/4/26,23.559999,23.950001,23.43,23.435276,8247807
2019/5/6,22.4,22.530001,20.75,20.596441,19391944
2019/5/7,20.799999,21.27,20.559999,20.804886,10496364
2019/5/8,20.42,21.450001,20.35,20.904146,8120065
2019/5/9,21.040001,21.450001,20.9,20.973627,10572399
2019/5/10,21.200001,22.91,21.18,22.561787,18788761
2019/5/13,22.42,23.15,22.26,22.651123,11750948
2019/5/14,22.58,23.5,22.459999,22.849642,18195846
2019/5/15,23.02,23.33,22.799999,23.147421,12659620
2019/5/16,23.35,24.5,23.059999,23.556318,18069893
2019/5/17,23.299999,23.780001,22.52,22.648769,13710260
2019/5/20,22.9,23.65,22.82,23.127476,11263806
2019/5/21,23.17,23.5,22.52,23.316963,12199484
2019/5/22,23.4,23.4,22.809999,23.087584,8891954
2019/5/23,23.16,24.5,23.16,23.386776,23633652
2019/5/24,22.66,22.93,21.92,21.89082,18725114
2019/5/27,21.969999,23.290001,21.85,23.187315,15957917
2019/5/28,23.25,24.08,23.15,23.446613,17398182
2019/5/29,23.15,23.860001,23.07,23.306992,12369756
2019/5/30,23.25,23.700001,22.809999,23.20726,11084619
2019/5/31,23.379999,23.68,23.1,23.416695,11580564
2019/6/3,23.67,23.84,23.040001,23.087584,10529040
2019/6/4,23.15,23.25,22.27,22.389473,11105163
2019/6/5,22.700001,22.969999,22.49,22.519121,7397021
2019/6/6,22.65,22.65,21.879999,21.930712,7553948
2019/6/10,21.99,22.34,21.709999,21.980577,6871652
2019/6/11,22.16,22.75,21.799999,22.658743,11118357
2019/6/12,22.549999,22.92,22.299999,22.349579,9389891
2019/6/13,22.309999,22.540001,22.15,22.19001,7864374
2019/6/14,22.32,22.860001,22.059999,22.010496,10700542
2019/6/17,22.059999,22.34,21.76,21.83098,6544510
2019/6/18,21.889999,21.969999,21.629999,21.721279,4791653
2019/6/19,22.299999,22.450001,22.1,22.060362,7590798
2019/6/20,22.01,22.59,21.93,22.519121,11298350
2019/6/21,22.58,23.049999,22.530001,22.918041,13511531
2019/6/24,23,23.15,22.74,22.80834,9202195
2019/6/25,22.76,22.99,22.48,22.638798,8183043
2019/6/26,22.700001,23.1,22.51,22.937988,8956530
2019/6/27,23.01,23.23,22.809999,22.84823,10140934
2019/6/28,22.9,22.91,22.35,22.489201,6341116
2019/7/1,22.91,23.15,22.84,23.087584,10662463
2019/7/2,23.120001,23.42,22.950001,22.997826,9327552
2019/7/3,22.9,23.389999,22.719999,23.097557,10857828
2019/7/4,23.110001,24.1,23.08,23.606182,28689838
2019/7/5,23.67,23.75,23.35,23.666019,13126486
2019/7/8,23.68,23.68,22.76,22.888124,11640506
2019/7/9,22.889999,23.1,22.809999,22.928015,5265036
2019/7/10,23.02,23.790001,22.809999,23.157394,11958655
2019/7/11,23.299999,23.6,22.889999,22.957935,7205070
2019/7/12,23,23.360001,22.85,23.107531,6350271
2019/7/15,23.25,23.940001,23.18,23.835562,16396633
2019/7/16,23.889999,24.16,23.700001,24.015076,11660566
2019/7/17,24.01,24.18,23.610001,23.656046,10915956
2019/7/18,23.549999,23.690001,23.049999,23.03772,11091561
2019/7/19,23.09,23.35,23.02,23.117504,6357064
2019/7/22,23.219999,23.280001,22.280001,22.259821,9894755
2019/7/23,22.27,22.780001,22.23,22.519121,4402691
2019/7/24,22.75,23.1,22.620001,22.828285,5970155
2019/7/25,22.799999,22.99,22.799999,22.84823,4272321
2019/7/26,22.74,23.379999,22.73,23.227207,8908542
2019/7/29,23.32,23.440001,23.129999,23.297018,6247450
2019/7/30,23.35,23.41,23.23,23.217234,5757151
2019/7/31,23.209999,23.379999,23.059999,23.247152,5188947
2019/8/1,23.25,23.25,22.77,22.758474,7003991
2019/8/2,22.299999,22.559999,22.139999,22.329632,6112267
2019/8/5,22.370001,22.809999,22.290001,22.239876,6007477
2019/8/6,21.9,21.9,21,21.40214,10040769
2019/8/7,21.6,21.77,21.27,21.242571,4790982
2019/8/8,21.370001,21.85,21.370001,21.43206,4512303
2019/8/9,21.610001,21.65,20.9,20.853622,7304592
2019/8/12,20.950001,21.299999,20.870001,21.242571,4259428
2019/8/13,21.200001,21.389999,21.02,21.122896,4377561
2019/8/14,21.4,21.49,21.280001,21.252544,4313947
2019/8/15,20.82,21.4,20.709999,21.332329,4957117
2019/8/16,21.450001,21.700001,21.299999,21.452005,5404758
2019/8/19,21.610001,22.309999,21.6,22.130173,8183732
2019/8/20,22.18,22.5,22.08,22.180037,7439075
2019/8/21,22.129999,22.48,22.1,22.180037,5254591
