Date,Open,High,Low,Close,Volume
2015/1/5,28.780001,29.16,28.110001,28.283918,27085384
2015/1/6,28.790001,31.09,28.5,29.673166,45449496
2015/1/7,29.9,30.209999,29.08,28.812227,24355297
2015/1/8,29.200001,29.74,28.83,28.283918,21233184
2015/1/9,28.6,29.17,27.950001,27.43276,22883013
2015/1/12,27.700001,27.700001,26.059999,25.965244,33473011
2015/1/13,26.68,27.370001,26.41,26.053293,22664785
2015/1/14,26.42,27.360001,26.41,26.307665,17547860
2015/1/15,26.860001,27.24,25.98,26.60117,21613410
2015/1/16,27.190001,27.799999,26.959999,26.963156,21028381
2015/1/19,26.780001,28.23,26.030001,26.170696,27071404
2015/1/20,26.75,28.200001,26.75,27.471893,29022289
2015/1/21,28.09,29.700001,27.93,28.704607,40925055
2015/1/22,29.33,32.27,29.01,31.003714,65910281
2015/1/23,31.450001,31.450001,30.280001,29.741652,43674727
2015/1/26,31.1,32.400002,31,30.896095,37293593
2015/1/27,31.9,32.209999,30.9,30.954796,32891481
2015/1/28,31.639999,31.66,30.059999,29.878618,31267796
2015/1/29,30,30.530001,29.700001,29.076378,16479425
2015/1/30,30.030001,30.42,29.209999,28.812227,21299564
2015/2/2,29,29.92,28.93,28.900278,16699544
2015/2/3,29.75,29.879999,29.09,28.890493,26942538
2015/2/4,29.629999,31.450001,29.52,29.418797,42025553
2015/2/5,30.280001,30.379999,29,28.440451,35265085
2015/2/6,29,29.059999,27.719999,27.266443,24374154
2015/2/9,27.799999,28.16,27.6,27.256659,12674512
2015/2/10,27.860001,28.73,27.860001,27.931713,16977250
2015/2/11,28.58,29.18,28.42,28.254568,17716130
2015/2/12,28.889999,28.92,28.059999,27.892584,17281834
2015/2/13,28.35,29.299999,28.35,28.235004,24239534
2015/2/16,28.93,29.58,28.75,28.675255,21866281
2015/2/17,29.360001,29.6,29.07,28.56764,16018533
2015/2/25,29.33,30.15,28.959999,29.232912,25445485
2015/2/26,29.950001,30.35,29.629999,29.575335,26620127
2015/2/27,30.9,33.18,30.9,31.101549,64331536
2015/3/2,31.790001,32.580002,31,31.50267,37955572
2015/3/3,32.169998,33.279999,31.610001,31.688553,42364075
2015/3/4,32.599998,33.360001,31.5,31.355917,39104517
2015/3/5,32.200001,32.369999,30.83,30.543892,32207902
2015/3/6,31.25,31.459999,30.6,30.710215,23612756
2015/3/9,30.93,31.620001,30.719999,30.778696,19819299
