Date,Open,High,Low,Close,Volume
2015/1/2,69.599998,70,68.160004,50.564049,2778600
2015/1/5,68.260002,68.849998,65.980003,48.666523,4527144
2015/1/6,66.400002,68.040001,65.57,48.990128,4331135
2015/1/7,67.25,68.150002,66.760002,49.372574,3394084
2015/1/8,68.220001,70.160004,67.809998,51.534882,5009933
2015/1/9,69.580002,71.050003,69.010002,51.056824,5369141
2015/1/12,69.800003,71.260002,69.389999,52.218876,4414685
2015/1/13,70.809998,72.849998,70.760002,53.15292,4815856
2015/1/14,71.099998,72.699997,70.889999,52.439518,4859173
2015/1/15,72.199997,73.330002,70.029999,53.638344,6176451
2015/1/16,72.639999,74.699997,72.400002,54.704784,6322109
2015/1/19,74.949997,75.470001,74.440002,54.962204,3745984
2015/1/20,74.989998,75.449997,74.160004,55.109306,4585101
2015/1/21,74.93,75.370003,73.900002,55.10194,5887427
2015/1/22,75,77.709999,74.43,56.830315,7085051
2015/1/23,77.75,80.330002,77.720001,58.588104,9144408
2015/1/26,79.169998,81.300003,79.150002,59.610413,4786635
2015/1/27,80.349998,81,78.269997,57.830566,6137148
2015/1/28,79.5,79.959999,78.650002,58.77198,4468541
2015/1/29,79.379997,80.540001,78.720001,59.05146,4003238
2015/1/30,80.989998,80.989998,79.739998,59.191204,4827837
2015/2/2,80.660004,81.330002,80.010002,59.728096,4078091
2015/2/3,81.699997,83.849998,81.410004,60.419449,6076372
2015/2/4,82.5,82.870003,81.230003,60.772472,4469526
2015/2/5,81.699997,84.690002,81.300003,60.882801,6021016
2015/2/6,82.949997,83,81.849998,60.56654,3390833
2015/2/9,81.809998,81.809998,79.779999,59.30888,5008580
2015/2/10,80.690002,82.410004,80.260002,60.4268,4173104
2015/2/11,82.5,82.650002,81.769997,60.632732,2436817
2015/2/12,82.699997,83.860001,82.410004,61.147556,4445590
2015/2/13,83.5,83.980003,82.779999,61.184345,3971150
2015/2/16,82.75,83.220001,82.550003,60.919567,1738229
2015/2/17,82.099998,82.980003,81.32,60.632732,2947749
2015/2/18,83.209999,83.690002,82.739998,61.50795,2518528
2015/2/19,83.209999,84.220001,82.68,61.838921,3249446
2015/2/20,83.809998,85.290001,83.68,62.353748,6490396
2015/2/23,85.620003,85.739998,84.550003,62.493496,2633871
2015/2/24,85,85.410004,84.059998,62.677361,2945715
2015/2/25,85.510002,85.650002,84.349998,62.530262,3359233
2015/2/26,85.040001,85.589996,84.449997,62.920074,2991688
2015/2/27,85.449997,86.510002,85.269997,63.626137,4452599
2015/3/2,86.790001,87.059998,86.129997,63.743801,3301517
2015/3/3,86.699997,87.370003,85.550003,62.956844,3098877
2015/3/4,86.120003,87.989998,85.639999,64.714638,3847853
2015/3/5,88.379997,89.510002,88.260002,65.567795,3985351
2015/3/6,89.5,90.510002,88.940002,66.134102,3327685
2015/3/9,89.669998,90.239998,89.080002,66.295906,2744722
2015/3/10,90.059998,90.290001,88.110001,65.236816,4199982
2015/3/11,89.669998,92.120003,89.370003,67.715378,4660969
2015/3/12,92.290001,93.129997,91.769997,68.141953,4117162
2015/3/13,93.360001,93.440002,91.589996,68.472916,3655230
2015/3/16,93.400002,96.07,93.269997,70.451347,4812810
2015/3/17,94.919998,95.5,91.309998,67.4506,6965469
2015/3/18,92.120003,92.510002,88.739998,66.126747,6826765
2015/3/19,89.959999,90.809998,89.019997,66.376808,5117951
2015/3/20,90.660004,91.940002,90.290001,67.303513,8552918
2015/3/23,91.400002,91.410004,88.489998,65.236816,4890629
2015/3/24,88.300003,89.209999,86.699997,65.038239,7463553
2015/3/25,88.550003,89.800003,87.419998,64.427788,4489921
2015/3/26,86.25,88.720001,84.650002,65.251534,6811231
2015/3/27,89.760002,90.540001,87.720001,65.067665,4761542
2015/3/30,89.279999,90.879997,89.080002,66.825455,3897247
2015/3/31,90.849998,90.860001,88.870003,65.994362,4953269
2015/4/1,89.699997,90.57,88.68,66.303261,7236724
2015/4/2,87.970001,88.339996,87.32,66.303253,4286352
2015/4/7,88.370003,88.540001,86.550003,65.842087,4339379
2015/4/8,86.169998,86.379997,85.389999,64.965096,4201079
2015/4/9,86.260002,87.290001,85.940002,65.993294,3637288
2015/4/10,87.889999,89.040001,87.300003,67.021477,3812088
2015/4/13,88.489998,89.18,88.010002,66.658592,2567158
2015/4/14,87.760002,88.160004,86.440002,65.72113,3511574
2015/4/15,87.169998,88.139999,86.980003,66.038658,3131366
2015/4/16,88,88.199997,86.769997,65.660637,3862814
2015/4/17,86.559998,87.599998,84.650002,64.11834,5694726
2015/4/20,85.330002,86.809998,85.010002,65.486755,3404615
2015/4/21,87.519997,88.599998,87.230003,65.985733,4434222
2015/4/22,88.239998,89.089996,86.529999,66.144493,4214286
2015/4/23,87.93,88.5,85.779999,65.161667,4341908
2015/4/24,87.110001,88.139999,85.949997,65.895012,3305402
2015/4/27,88.150002,89.900002,87.309998,67.701904,5486994
2015/4/28,92.099998,92.699997,88.18,67.233185,6517129
2015/4/29,90.199997,90.5,85.980003,65.123863,5764164
2015/4/30,86.269997,87.309998,84.739998,65.267517,5243669
2015/5/4,87.07,88.089996,86.150002,66.189857,3022408
2015/5/5,87.18,88.970001,85.120003,64.451004,4695912
2015/5/6,85.699997,86.379997,83,64.012505,5161212
2015/5/7,84.25,85.57,83.32,64.451004,4252666
2015/5/8,86.139999,88.07,85.260002,66.582993,4206482
2015/5/11,88.220001,88.220001,87.150002,66.575424,2393788
2015/5/12,87,87.07,84.919998,64.776108,3940609
2015/5/13,85.93,86.650002,83.940002,63.778145,3540117
2015/5/14,83.800003,86.709999,83.080002,65.448959,3072945
2015/5/15,87.059998,87.209999,84.620003,64.284683,4530216
2015/5/18,85,86.730003,84.669998,65.373352,2999092
2015/5/19,87.5,89.620003,87.5,67.565826,5798077
2015/5/20,89.400002,90,88.970001,67.822876,2740363
2015/5/21,89.599998,90.050003,88.839996,68.019432,2399024
2015/5/22,89.730003,90.220001,89.129997,67.815308,2455671
2015/5/26,90,91,87.959999,66.877838,3741315
2015/5/27,88.449997,89.57,87.709999,67.44487,3561414
2015/5/28,88.389999,88.870003,86.830002,66.21254,3269862
2015/5/29,87.800003,87.980003,85.239998,64.473686,4485666
2015/6/1,86.199997,86.809998,85.080002,64.821449,3255968
2015/6/2,86.160004,86.160004,83.300003,63.248924,4649565
2015/6/3,83.879997,84.669998,83.099998,63.354778,4555802
2015/6/4,83.309998,83.370003,81.339996,62.704597,4739611
2015/6/5,82.050003,82.599998,81.110001,61.880527,3920551
2015/6/8,81.739998,82.139999,79.75,60.693569,3863449
2015/6/9,79.949997,80.980003,79.029999,61.124508,4552665
2015/6/10,80.879997,84.150002,80.32,63.135521,4667877
2015/6/11,83.620003,85.68,83.18,63.974712,5170177
2015/6/12,84,85.860001,83.07,63.619381,4278328
2015/6/15,82.540001,83.220001,81.629997,62.182934,3587101
2015/6/16,81.489998,83.07,80.339996,62.598751,3976654
2015/6/17,83.190002,83.230003,81.190002,61.668842,3591656
2015/6/18,81.099998,81.690002,79.559998,61.736885,5074379
2015/6/19,81.919998,83.5,81.489998,61.691517,10173547
2015/6/22,84.790001,85.709999,83.660004,64.624893,5902416
2015/6/23,86.629997,87.629997,86.010002,65.577477,4471228
2015/6/24,86.760002,86.989998,84.43,64.904617,4203506
2015/6/25,85,87.199997,84.68,65.252388,2508584
2015/6/26,85.900002,87.32,85.339996,65.479195,2924233
2015/6/29,81.800003,84.690002,81.599998,62.6063,6219148
2015/6/30,82.730003,83.769997,81.209999,61.721764,7019938
2015/7/1,83.5,85.290001,82.790001,63.581577,5702878
2015/7/2,84.5,84.57,82.669998,62.734829,2870697
2015/7/3,83.040001,83.470001,82.120003,62.560947,2664185
2015/7/6,81.099998,82.93,81.050003,62.016605,4584069
2015/7/7,82,82.199997,79.339996,60.232395,5272094
2015/7/8,79.330002,79.980003,77.25,59.824146,6509596
2015/7/9,79.760002,81.550003,79.519997,61.230354,3684540
2015/7/10,83.150002,83.199997,81.849998,62.689465,4727150
2015/7/13,84.400002,84.629997,82.580002,63.150646,4873452
2015/7/14,83.309998,83.330002,81.669998,62.999435,3673205
2015/7/15,83.050003,83.959999,82.419998,62.9692,2880254
2015/7/16,84.120003,85.980003,83.57,64.322479,4418065
2015/7/17,85.800003,85.989998,84.07,63.838623,3815761
2015/7/20,84.800003,85.660004,84.330002,64.292236,2825378
2015/7/21,85.650002,86.589996,84.919998,64.314919,3169987
2015/7/22,84.699997,84.910004,83.209999,63.702545,3142275
2015/7/23,86.43,86.449997,82.18,63.2943,6355422
2015/7/24,83.879997,84.5,81.470001,61.910767,4386246
2015/7/27,81.309998,81.910004,79.459999,60.315559,4367653
2015/7/28,80.400002,81.660004,79.93,61.124508,4485278
2015/7/29,81.410004,81.580002,79.839996,61.298389,3396792
2015/7/30,81.330002,81.389999,79.769997,60.988415,3342205
2015/7/31,80.779999,81.470001,80.419998,61.532745,4616998
2015/8/3,81.25,82.169998,80.150002,62.084652,3053318
2015/8/4,81.949997,82.510002,81.339996,62.296329,2605281
2015/8/5,82.599998,84.989998,82.580002,63.952019,3920786
2015/8/6,84.489998,85.120003,83.589996,63.475739,2420789
2015/8/7,83.629997,84.279999,83.099998,63.354778,3000048
2015/8/10,84.209999,84.339996,83.07,63.710102,1755442
2015/8/11,83.160004,83.260002,79.580002,60.428963,6959698
2015/8/12,78.099998,78.120003,75.610001,57.488029,8546828
2015/8/13,77.739998,77.849998,76.660004,58.21381,4611016
2015/8/14,77.239998,77.879997,76.339996,58.183571,3092172
2015/8/17,77.610001,78.080002,75.379997,57.714832,3606296
2015/8/18,76.029999,76.730003,75.68,57.30658,2758679
2015/8/19,75,75.220001,73.699997,55.817223,4443179
2015/8/20,73,74.059998,72.089996,54.766346,5425309
